"model","term","beta","hazard_ratio","ci_lower_95","ci_upper_95","robust_se","z","p_value"
"baseline","baseline_prior_knee_injury_num",-0.0758552419878496,0.926950380342203,0.751278911358336,1.14369909047896,0.107207616673356,-0.707554596787352,0.479221896715399
"baseline","baseline_prior_knee_surgery_num",0.276094680987402,1.31797264507142,1.03082087401451,1.68511517077807,0.125379462597076,2.20207261435368,0.0276601795787096
"baseline","clinical00_p01bmi_num",-0.0102096028418747,0.989842338237001,0.969695709795987,1.01040753781682,0.0104917004908316,-0.973112304415916,0.330497489328948
"baseline","sexFemale",0.0200064114581406,1.02020788102591,0.823158478756177,1.26442738229472,0.109498413090293,0.182709601842752,0.855025881405707
"baseline","sideright",0.0438551391611453,1.0448309888317,0.917792882795881,1.18945332404132,0.0661433944043441,0.663031275550397,0.50731052369096
"baseline","subject_v00age_num",-0.00435113149573981,0.995658320962308,0.985330765854627,1.00609412235458,0.00531987315462379,-0.817901361418366,0.413413512893692
"baseline","womac_function_0m",0.0183955383832301,1.01856577858395,1.00515679520245,1.03215364036152,0.00676134562624341,2.72069191550124,0.00651454447029717
"baseline","womac_pain_0m",-0.000134008009535853,0.999866000969136,0.957468031282489,1.04414140966661,0.0221070073284426,-0.00606178880501114,0.995163421921891
"baseline","xray_sq_v00xrkl_num",0.748945676211545,2.11476918934877,1.87460465012779,2.38570235271421,0.0615051568487425,12.1769574225036,4.12380534367017e-34
"dynamic","baseline_prior_knee_injury_num",-0.106046301040278,0.899383004743139,0.743901991835362,1.08736069818162,0.0968383524836732,-1.09508576220518,0.273479065664917
"dynamic","baseline_prior_knee_surgery_num",0.249585625533268,1.28349345956277,1.03134880158748,1.59728256648453,0.111592950473074,2.23657161563705,0.0253143517915068
"dynamic","clinical00_p01bmi_num",-0.00173546769087074,0.998266037362399,0.979312161618305,1.01758675160784,0.00978046643088749,-0.177442221506941,0.859161045495337
"dynamic","pain_trajectory_rule_0_24mhigh_persistent",0.105816280489813,1.1116176318984,0.713615726144713,1.73159547116934,0.22614034961165,0.467923042798557,0.639839624417891
"dynamic","pain_trajectory_rule_0_24mimproving",0.266673622257125,1.30561425335141,0.892978552448187,1.90892443483773,0.193812917514183,1.37593317141831,0.168842324239866
"dynamic","pain_trajectory_rule_0_24mmissing",NA,NA,NA,NA,0,NA,NA
"dynamic","pain_trajectory_rule_0_24mmoderate_stable",0.51509939781829,1.6738048660812,1.28996404768576,2.17186109546488,0.132902977758161,3.87575512984816,0.000106294539186101
"dynamic","pain_trajectory_rule_0_24mworsening",0.244235494850243,1.27664493840084,0.909488827567423,1.79202014290127,0.173017495613421,1.41162310773441,0.15806096472325
"dynamic","sexFemale",0.0447590835961683,1.04577588499206,0.872492641915551,1.25347441237996,0.0924303422414205,0.484246650080135,0.628210833132854
"dynamic","sideright",-0.0387187253077565,0.962021263329335,0.856854591033956,1.08009564374394,0.0590665555378049,-0.655510126758195,0.512139368539748
"dynamic","subject_v00age_num",-0.00301677767457107,0.996987768226724,0.98747395574133,1.00659324148705,0.00489211990044167,-0.616660616657965,0.537458603238122
"dynamic","womac_function_24m",0.0146540844204998,1.0147619819177,0.998111392121311,1.0316903384471,0.00844121529690758,1.73601595327965,0.0825610137890938
"dynamic","womac_function_delta_0_24m",-0.00772941793826772,0.992300377196793,0.979083696126625,1.00569547065316,0.00684131485389434,-1.12981467792961,0.258554322021957
"dynamic","womac_pain_24m",0.016834736749241,1.01697723947212,0.957356249881574,1.08031122764621,0.0308242585556885,0.546152204077402,0.584961317565783
"dynamic","womac_pain_delta_0_24m",0.0438762371661954,1.04485303291372,0.982828793334064,1.1107914906375,0.0312233179622013,1.40523941815894,0.159950096299407
"dynamic","xray_jsn_medial_current_24m",0.0624670841517846,1.06445942075648,0.971762313772035,1.16599897153763,0.0464861203836423,1.34377925359772,0.179019780167098
"dynamic","xray_kl_current_24m",0.8968099462483,2.45176934673263,2.22294368961914,2.70414988811868,0.0499895116264947,17.9399621454391,5.74942797665721e-72
