cpt_code,laterality_from_modifier,rows,patients
27438,left,4,4
27438,not_side_specific,45,42
27438,right,12,12
27440,left,2,2
27442,left,15,15
27442,not_side_specific,2,2
27442,right,20,20
27445,left,5,5
27445,not_side_specific,3,3
27445,right,3,3
27446,left,212,208
27446,not_side_specific,367,336
27446,right,218,216
27447,left,2648,2641
27447,not_side_specific,8625,6955
27447,right,2803,2790
27486,left,46,45
27486,not_side_specific,403,373
27486,right,62,62
27487,left,94,94
27487,not_side_specific,1167,983
27487,right,89,87
