cpt_code,modifier_clean,rows,patients
27438,,45,42
27438,RT,12,12
27438,LT,4,4
27440,LT,2,2
27442,RT,20,20
27442,LT,15,15
27442,,2,2
27445,LT,5,5
27445,,3,3
27445,RT,3,3
27446,,365,336
27446,RT,218,216
27446,LT,212,208
27446,50,2,2
27447,,8613,6952
27447,RT,2799,2786
27447,LT,2641,2637
27447,50,11,11
27447,RT XP,3,3
27447,74 LT,2,2
27447,22,1,1
27447,22 LT,1,1
27447,59 RT,1,1
27447,73 LT,1,1
27447,LT XE,1,1
27447,LT XP,1,1
27447,LT XU,1,1
27486,,399,371
27486,RT,54,54
27486,LT,41,41
27486,52 RT,8,8
27486,52 LT,5,5
27486,52,3,3
27486,XP,1,1
27487,,1166,982
27487,LT,89,89
27487,RT,82,80
27487,52 RT,6,6
27487,52 LT,5,5
27487,52,1,1
27487,74 RT,1,1
