Cohort,Characteristic,Included,Excluded,Included non-missing,Excluded non-missing,SMD
MRKR,"Knees, n",3412,5703,3412,5703,
MRKR,"Participants, n",2179,3416,2179,3416,
MRKR,"Age, years",63.9 (11.8),60.0 (14.1),3412,5703,0.300
MRKR,"Baseline pain score, 0-10",3.4 (3.4),3.4 (3.4),2387,3495,0.014
MRKR,"24-month pain score, 0-10",3.4 (3.4),3.4 (3.4),3412,2955,0.001
MRKR,0-24 month pain change,0.3 (3.9),-0.1 (3.9),2387,2266,0.097
MRKR,Baseline KL grade,2.2 (1.2),1.8 (1.2),3412,5703,0.354
MRKR,24-month KL grade,2.4 (1.2),1.9 (1.3),3412,5703,0.382
MRKR,0-24 month KL change,0.2 (1.0),0.1 (1.2),3412,5703,0.029
MRKR,"Baseline-to-landmark interval, months",25.8 (4.9),25.8 (5.1),3412,5703,0.005
MRKR,"Post-landmark follow-up, months",30.1 (30.4),11.1 (28.6),3412,5703,0.645
MRKR,Female,2396 (70.2%),3630 (63.7%),3412,5703,0.140
MRKR,Right knee,1684 (49.4%),2805 (49.2%),3412,5703,0.003
MRKR,Post-landmark hardware-defined KR/TKA event,1140 (33.4%),253 (4.4%),3412,5703,0.740
MRKR,"Race, overall SMD",,,3412,5703,0.211
MRKR,  Race: African American or Black,1334 (39.1%),2017 (35.4%),3412,5703,
MRKR,  Race: American Indian or Alaskan Native,5 (0.1%),15 (0.3%),3412,5703,
MRKR,  Race: Asian,138 (4.0%),257 (4.5%),3412,5703,
MRKR,  Race: Caucasian or White,1830 (53.6%),3011 (52.8%),3412,5703,
MRKR,  Race: Multiple,14 (0.4%),33 (0.6%),3412,5703,
MRKR,  Race: Native Hawaiian or Other Pacific Islander,6 (0.2%),5 (0.1%),3412,5703,
MRKR,  Race: Unknown,85 (2.5%),365 (6.4%),3412,5703,
MRKR,"Ethnicity, overall SMD",,,3412,5703,0.342
MRKR,  Ethnicity: Hispanic or Latino,73 (2.1%),166 (2.9%),3412,5703,
MRKR,  Ethnicity: Non-Hispanic or Latino,3128 (91.7%),4780 (83.8%),3412,5703,
MRKR,  Ethnicity: Unknown,211 (6.2%),757 (13.3%),3412,5703,
