"validation","group","n","events","mean_predicted_risk","observed_km_risk","observed_km_se"
"OAI common apparent",1,307,1,0.00879619568189649,0.00546448087431695,0.00544953014623333
"OAI common apparent",2,307,0,0.0174893097483893,0,0
"OAI common apparent",3,307,10,0.0382380301401442,0.038230077370474,0.0119508742831429
"OAI common apparent",4,306,8,0.0456158054086634,0.0289130989939613,0.0100856520352073
"OAI common apparent",5,307,11,0.0517142661345469,0.0394797749057216,0.0117048949434856
"OAI common apparent",6,307,20,0.0682765031230505,0.0721147665074614,0.0155526415674282
"OAI common apparent",7,306,21,0.0978660368605245,0.0767280115719855,0.0161317051724918
"OAI common apparent",8,307,29,0.126955941493433,0.112366488137632,0.0197322240720128
"OAI common apparent",9,307,57,0.190919812942383,0.200130319115802,0.023786334663843
"OAI common apparent",10,307,117,0.347246367948968,0.402988513376072,0.0289903288681312
"OAI full apparent",1,304,1,0.00922133443297453,0.00543478260869568,0.00541999405717821
"OAI full apparent",2,304,1,0.0180427517657994,0.00331125827814571,0.00330577151666612
"OAI full apparent",3,304,8,0.0378062222770771,0.0317649372965757,0.0111482220449945
"OAI full apparent",4,304,8,0.0450330636570013,0.0289189109843425,0.0100865477285283
"OAI full apparent",5,304,10,0.0518733481550231,0.0369260845455187,0.0114896936634165
"OAI full apparent",6,304,21,0.0692423889765795,0.0756586998484563,0.0159007660623529
"OAI full apparent",7,304,27,0.0961898146591065,0.100691524621679,0.0184255118333869
"OAI full apparent",8,304,23,0.127098774352472,0.088273594951018,0.0176247056081223
"OAI full apparent",9,304,60,0.189102410289669,0.214134628300026,0.0246062567106584
"OAI full apparent",10,304,111,0.341662844594621,0.385898725171534,0.0288966219363334
"CHECK TKA exploratory",1,172,0,0.00910496307465993,0,0
"CHECK TKA exploratory",2,171,0,0.0108274606490185,0,0
"CHECK TKA exploratory",3,171,1,0.0127484202046726,0.00584795321637432,0.00583082886565418
"CHECK TKA exploratory",4,171,0,0.0162256427901465,0,0
"CHECK TKA exploratory",5,171,1,0.0201926214295096,0.00584795321637432,0.00583082886565418
"CHECK TKA exploratory",6,171,1,0.024468324664316,0.00584795321637432,0.00583082886565418
"CHECK TKA exploratory",7,171,7,0.0306704748166166,0.04093567251462,0.0151522378310553
"CHECK TKA exploratory",8,171,4,0.0399856912364694,0.0233918128654971,0.0115583027438249
"CHECK TKA exploratory",9,171,3,0.0550888223304321,0.0175438596491229,0.0100397084827948
"CHECK TKA exploratory",10,172,9,0.104673183067009,0.0523255813953488,0.0169794018382513
