"validation","threshold","n","events_by_horizon","net_benefit_model","net_benefit_treat_all","net_benefit_treat_none"
"OAI common apparent",0.02,2392,274,0.0982441471571906,0.0964780561053853,0
"OAI common apparent",0.04,2392,274,0.081626254180602,0.0776546822742475,0
"OAI common apparent",0.06,2392,274,0.0721909912474205,0.0580303138119974,0
"OAI common apparent",0.08,2392,274,0.0632179729533227,0.0375527119383452,0
"OAI common apparent",0.1,2392,274,0.0534652545522111,0.016164994425864,0
"OAI common apparent",0.12,2392,274,0.0505092733353603,-0.00619489206445731,0
"OAI common apparent",0.14,2392,274,0.0461130123668041,-0.0295947732752586,0
"OAI common apparent",0.16,2392,274,0.0425027870680044,-0.0541089345437172,0
"OAI common apparent",0.18,2392,274,0.0370340158251081,-0.0798189085569785,0
"OAI common apparent",0.2,2392,274,0.0333403010033445,-0.106814381270903,0
"OAI common apparent",0.22,2392,274,0.0322549524054541,-0.135194237200926,0
"OAI common apparent",0.24,2392,274,0.0274599542334096,-0.165067769758845,0
"OAI common apparent",0.26,2392,274,0.0209030100334448,-0.196556087860436,0
"OAI common apparent",0.28,2392,274,0.0186269044964697,-0.22979375696767,0
"OAI common apparent",0.3,2392,274,0.0143334925943622,-0.264930721452461,0
"OAI full apparent",0.02,2370,270,0.097588908981314,0.0958408679927667,0
"OAI full apparent",0.04,2370,270,0.0811357243319269,0.0770042194092827,0
"OAI full apparent",0.06,2370,270,0.0731483975222192,0.0573660113116079,0
"OAI full apparent",0.08,2370,270,0.0634562465602642,0.0368739680792515,0
"OAI full apparent",0.1,2370,270,0.0530239099859353,0.0154711673699015,0
"OAI full apparent",0.12,2370,270,0.0499616417337936,-0.00690448791714617,0
"OAI full apparent",0.14,2370,270,0.0472966342851536,-0.0303208713570798,0
"OAI full apparent",0.16,2370,270,0.0412698412698413,-0.0548523206751055,0
"OAI full apparent",0.18,2370,270,0.0380158485129155,-0.0805804260574251,0
"OAI full apparent",0.2,2370,270,0.0330168776371308,-0.107594936708861,0
"OAI full apparent",0.22,2370,270,0.0299686249053338,-0.135994806880883,0
"OAI full apparent",0.24,2370,270,0.0250499666888741,-0.165889407061959,0
"OAI full apparent",0.26,2370,270,0.0208917778538032,-0.197399931577147,0
"OAI full apparent",0.28,2370,270,0.016502578527895,-0.230661040787623,0
"OAI full apparent",0.3,2370,270,0.0136226642555756,-0.265822784810127,0
"CHECK TKA exploratory",0.02,1712,26,0.00299208468434103,-0.00491131031851993,0
"CHECK TKA exploratory",0.04,1712,26,-0.00119256230529595,-0.0258469626168224,0
"CHECK TKA exploratory",0.06,1712,26,-0.00187661562934977,-0.0476734937363293,0
"CHECK TKA exploratory",0.08,1712,26,0.000253961804144657,-0.0704490044697278,0
"CHECK TKA exploratory",0.1,1712,26,0.00149273104880581,-0.0942367601246106,0
"CHECK TKA exploratory",0.12,1712,26,0.00127442650807137,-0.11910577740017,0
"CHECK TKA exploratory",0.14,1712,26,0.00101880026081287,-0.145131493153662,0
"CHECK TKA exploratory",0.16,1712,26,0.000890075656430796,-0.17239652870494,0
"CHECK TKA exploratory",0.18,1712,26,0.000142466377934808,-0.200991565990426,0
"CHECK TKA exploratory",0.2,1712,26,-0.000438084112149532,-0.231016355140187,0
"CHECK TKA exploratory",0.22,1712,26,-0.000404385334291876,-0.262580877066858,0
"CHECK TKA exploratory",0.24,1712,26,3.07427447122479e-05,-0.295806689621249,0
"CHECK TKA exploratory",0.26,1712,26,0.00037888355645365,-0.330828492043445,0
"CHECK TKA exploratory",0.28,1712,26,0.000356957424714434,-0.367795950155763,0
"CHECK TKA exploratory",0.3,1712,26,-0.000250333778371162,-0.406875834445928,0
