"model","group","n","events_by_horizon","mean_predicted_risk","observed_km_risk"
"E_dynamic_clinical_imaging",1,307,1,0.00730213943434975,0.00540540540540535
"E_dynamic_clinical_imaging",2,307,1,0.015161214354875,0.00327868852459012
"E_dynamic_clinical_imaging",3,306,10,0.0346145896949203,0.0396281625921497
"E_dynamic_clinical_imaging",4,307,8,0.0431067654484291,0.0285874595437624
"E_dynamic_clinical_imaging",5,306,9,0.0507869173752775,0.0327637595361477
"E_dynamic_clinical_imaging",6,307,18,0.0686673411277272,0.0638730938578795
"E_dynamic_clinical_imaging",7,306,28,0.0967566989724364,0.102800578848881
"E_dynamic_clinical_imaging",8,307,26,0.129203202636018,0.0993037175908392
"E_dynamic_clinical_imaging",9,306,51,0.194955659931796,0.182275057277675
"E_dynamic_clinical_imaging",10,307,121,0.350344453621352,0.414201960376771
