"split_repeat","train_participants","test_participants","test_knees","test_events","c_index","model"
1,1148,492,919,176,0.514963341364797,"A_basic"
2,1148,492,920,170,0.517891370677515,"A_basic"
3,1148,492,917,162,0.500325329527328,"A_basic"
4,1148,492,927,152,0.533879945146756,"A_basic"
5,1148,492,918,136,0.516573128676719,"A_basic"
6,1148,492,928,183,0.486712741682552,"A_basic"
7,1148,492,921,160,0.48970786033249,"A_basic"
8,1148,492,917,164,0.524873967606993,"A_basic"
9,1148,492,916,165,0.559797080399524,"A_basic"
10,1148,492,913,187,0.491783982074143,"A_basic"
11,1148,492,907,184,0.52367700030656,"A_basic"
12,1148,492,921,176,0.549609847975245,"A_basic"
13,1148,492,919,140,0.532227633155707,"A_basic"
14,1148,492,909,153,0.541605169077372,"A_basic"
15,1148,492,910,171,0.539457061287017,"A_basic"
16,1148,492,918,181,0.541362825336488,"A_basic"
17,1148,492,926,150,0.56087841469132,"A_basic"
18,1148,492,911,174,0.541826492293133,"A_basic"
19,1148,492,936,172,0.514080024249773,"A_basic"
20,1148,492,926,190,0.517753357968727,"A_basic"
21,1148,492,912,151,0.544110467567628,"A_basic"
22,1148,492,913,169,0.505175766641735,"A_basic"
23,1148,492,922,162,0.540346805764914,"A_basic"
24,1148,492,923,163,0.494851327298339,"A_basic"
25,1148,492,925,162,0.516360225893493,"A_basic"
26,1148,492,924,173,0.517644747461875,"A_basic"
27,1148,492,915,177,0.504966717343962,"A_basic"
28,1148,492,923,145,0.516038932526711,"A_basic"
29,1148,492,922,160,0.530734104171638,"A_basic"
30,1148,492,908,179,0.524869844206714,"A_basic"
31,1148,492,925,163,0.512933640789137,"A_basic"
32,1148,492,935,160,0.552372137075943,"A_basic"
33,1148,492,918,183,0.571045412697518,"A_basic"
34,1148,492,910,167,0.514296388280855,"A_basic"
35,1148,492,923,173,0.550430302562519,"A_basic"
36,1148,492,929,182,0.513946466768887,"A_basic"
37,1148,492,918,183,0.524375374968551,"A_basic"
38,1148,492,923,164,0.511952279581338,"A_basic"
39,1148,492,925,178,0.508933421277256,"A_basic"
40,1148,492,917,166,0.571819006816791,"A_basic"
41,1148,492,918,179,0.505935948291295,"A_basic"
42,1148,492,920,177,0.50195005097849,"A_basic"
43,1148,492,923,183,0.54539379429044,"A_basic"
44,1148,492,938,160,0.510870035242481,"A_basic"
45,1148,492,913,177,0.523116706718211,"A_basic"
46,1148,492,924,178,0.538567627364789,"A_basic"
47,1148,492,924,159,0.555156391408957,"A_basic"
48,1148,492,921,173,0.506183918868554,"A_basic"
49,1148,492,911,144,0.503746047190465,"A_basic"
50,1148,492,911,155,0.526782662388497,"A_basic"
1,1148,492,925,174,0.610271379144936,"B_baseline_symptoms"
2,1148,492,913,179,0.636748292191037,"B_baseline_symptoms"
3,1148,492,912,180,0.655215915576159,"B_baseline_symptoms"
4,1148,492,917,156,0.606905633786547,"B_baseline_symptoms"
5,1148,492,929,167,0.652922542407521,"B_baseline_symptoms"
6,1148,492,930,158,0.642980758283047,"B_baseline_symptoms"
7,1148,492,914,143,0.626138765178561,"B_baseline_symptoms"
8,1148,492,909,163,0.673251415702823,"B_baseline_symptoms"
9,1148,492,912,154,0.660704506122807,"B_baseline_symptoms"
10,1148,492,909,163,0.636270330017369,"B_baseline_symptoms"
11,1148,492,917,180,0.617373647946418,"B_baseline_symptoms"
12,1148,492,925,165,0.638552792761815,"B_baseline_symptoms"
13,1148,492,907,166,0.644936668304248,"B_baseline_symptoms"
14,1148,492,927,164,0.607994186046512,"B_baseline_symptoms"
15,1148,492,921,166,0.642625887634629,"B_baseline_symptoms"
16,1148,492,920,149,0.634118645485949,"B_baseline_symptoms"
17,1148,492,928,165,0.63151985355938,"B_baseline_symptoms"
18,1148,492,923,160,0.608075022952826,"B_baseline_symptoms"
19,1148,492,919,171,0.612306725839463,"B_baseline_symptoms"
20,1148,492,922,185,0.585965975297134,"B_baseline_symptoms"
21,1148,492,924,144,0.624080781472945,"B_baseline_symptoms"
22,1148,492,915,186,0.610919124298896,"B_baseline_symptoms"
23,1148,492,918,170,0.626435129084598,"B_baseline_symptoms"
24,1148,492,924,160,0.624595087418213,"B_baseline_symptoms"
25,1148,492,924,154,0.623552655761809,"B_baseline_symptoms"
26,1148,492,923,192,0.619225631701978,"B_baseline_symptoms"
27,1148,492,911,161,0.662303782665407,"B_baseline_symptoms"
28,1148,492,924,146,0.616643748039854,"B_baseline_symptoms"
29,1148,492,913,144,0.629495526233332,"B_baseline_symptoms"
30,1148,492,921,153,0.602757864937674,"B_baseline_symptoms"
31,1148,492,920,167,0.596066772421183,"B_baseline_symptoms"
32,1148,492,915,169,0.609187961735664,"B_baseline_symptoms"
33,1148,492,924,176,0.659015098314607,"B_baseline_symptoms"
34,1148,492,921,165,0.609863481967071,"B_baseline_symptoms"
35,1148,492,915,173,0.646774536722763,"B_baseline_symptoms"
36,1148,492,927,157,0.618188747772086,"B_baseline_symptoms"
37,1148,492,924,173,0.668159313017404,"B_baseline_symptoms"
38,1148,492,895,169,0.588168950544183,"B_baseline_symptoms"
39,1148,492,921,164,0.643718489889775,"B_baseline_symptoms"
40,1148,492,917,165,0.640502112697776,"B_baseline_symptoms"
41,1148,492,931,148,0.616885987282805,"B_baseline_symptoms"
42,1148,492,918,174,0.643861549626108,"B_baseline_symptoms"
43,1148,492,920,177,0.649665171000223,"B_baseline_symptoms"
44,1148,492,923,181,0.627816085536417,"B_baseline_symptoms"
45,1148,492,931,166,0.648319697789662,"B_baseline_symptoms"
46,1148,492,924,165,0.642250723507865,"B_baseline_symptoms"
47,1148,492,916,195,0.63882225420687,"B_baseline_symptoms"
48,1148,492,927,155,0.624485573821547,"B_baseline_symptoms"
49,1148,492,931,188,0.625910090058339,"B_baseline_symptoms"
50,1148,492,924,184,0.599497595077211,"B_baseline_symptoms"
1,1148,492,920,169,0.699688046869056,"C_baseline_symptoms_imaging"
2,1148,492,920,162,0.702677737415672,"C_baseline_symptoms_imaging"
3,1148,492,922,154,0.723844027961634,"C_baseline_symptoms_imaging"
4,1148,492,926,161,0.668225451815305,"C_baseline_symptoms_imaging"
5,1148,492,923,163,0.673773032922889,"C_baseline_symptoms_imaging"
6,1148,492,911,185,0.706676307543986,"C_baseline_symptoms_imaging"
7,1148,492,918,181,0.698176771785424,"C_baseline_symptoms_imaging"
8,1148,492,926,180,0.722905418916217,"C_baseline_symptoms_imaging"
9,1148,492,921,156,0.711671061196121,"C_baseline_symptoms_imaging"
10,1148,492,923,165,0.682973501843303,"C_baseline_symptoms_imaging"
11,1148,492,915,173,0.693897355157492,"C_baseline_symptoms_imaging"
12,1148,492,915,171,0.712190678920114,"C_baseline_symptoms_imaging"
13,1148,492,928,164,0.709770209228817,"C_baseline_symptoms_imaging"
14,1148,492,918,182,0.716786706854034,"C_baseline_symptoms_imaging"
15,1148,492,927,161,0.683589062232128,"C_baseline_symptoms_imaging"
16,1148,492,909,153,0.694263820470717,"C_baseline_symptoms_imaging"
17,1148,492,929,147,0.720613371699807,"C_baseline_symptoms_imaging"
18,1148,492,922,179,0.715170308733183,"C_baseline_symptoms_imaging"
19,1148,492,917,180,0.732240385523954,"C_baseline_symptoms_imaging"
20,1148,492,935,174,0.71453645273218,"C_baseline_symptoms_imaging"
21,1148,492,918,171,0.713788473455898,"C_baseline_symptoms_imaging"
22,1148,492,926,198,0.687579944299801,"C_baseline_symptoms_imaging"
23,1148,492,923,134,0.732113310891767,"C_baseline_symptoms_imaging"
24,1148,492,920,172,0.734587471955677,"C_baseline_symptoms_imaging"
25,1148,492,925,173,0.715070332285723,"C_baseline_symptoms_imaging"
26,1148,492,911,164,0.705355277768616,"C_baseline_symptoms_imaging"
27,1148,492,914,163,0.727020691520534,"C_baseline_symptoms_imaging"
28,1148,492,919,161,0.714019290397135,"C_baseline_symptoms_imaging"
29,1148,492,913,174,0.684139413480731,"C_baseline_symptoms_imaging"
30,1148,492,916,187,0.723652088340493,"C_baseline_symptoms_imaging"
31,1148,492,920,148,0.709759371105359,"C_baseline_symptoms_imaging"
32,1148,492,918,175,0.689384858546106,"C_baseline_symptoms_imaging"
33,1148,492,919,164,0.743290459240495,"C_baseline_symptoms_imaging"
34,1148,492,906,151,0.743859317163164,"C_baseline_symptoms_imaging"
35,1148,492,923,181,0.710582184886253,"C_baseline_symptoms_imaging"
36,1148,492,918,169,0.723210472473009,"C_baseline_symptoms_imaging"
37,1148,492,926,162,0.70021485307522,"C_baseline_symptoms_imaging"
38,1148,492,917,175,0.713979092968719,"C_baseline_symptoms_imaging"
39,1148,492,930,171,0.716911802024016,"C_baseline_symptoms_imaging"
40,1148,492,922,161,0.692072237526783,"C_baseline_symptoms_imaging"
41,1148,492,926,162,0.730917268520521,"C_baseline_symptoms_imaging"
42,1148,492,912,162,0.68761101742552,"C_baseline_symptoms_imaging"
43,1148,492,932,153,0.71944147289004,"C_baseline_symptoms_imaging"
