Cohort,Characteristic,Included,Excluded,Included non-missing,Excluded non-missing,SMD
OAI,"Knees, n",3104,5210,3104,5210,
OAI,"Participants, n",1656,2690,1656,2690,
OAI,"Age, years",62.8 (9.3),60.2 (8.9),3104,5210,0.280
OAI,"Baseline pain score, 0-10",1.5 (1.8),0.9 (1.4),3104,5210,0.379
OAI,"24-month pain score, 0-10",1.4 (1.7),0.8 (1.3),3104,5210,0.398
OAI,0-24 month pain change,-0.1 (1.6),-0.1 (1.3),3104,5210,0.009
OAI,Baseline KL grade,2.0 (1.1),1.7 (1.2),3104,298,0.257
OAI,24-month KL grade,2.1 (1.2),0.8 (1.0),3104,4910,1.193
OAI,0-24 month KL change,0.1 (0.4),NA (NA),3104,0,
OAI,"Baseline-to-landmark interval, months",24.0 (0.0),24.0 (0.0),3104,5210,0.000
OAI,"Post-landmark follow-up, months",92.4 (56.7),137.1 (42.5),3104,5210,0.892
OAI,Female,1835 (59.1%),2993 (57.4%),3104,5210,0.034
OAI,Right knee,1542 (49.7%),2605 (50.0%),3104,5210,0.006
OAI,Post-landmark KR/TKA event,566 (18.2%),265 (5.1%),3104,5210,0.410
OAI,"Race, overall SMD",,,3104,5210,0.261
OAI,  Race: .: Missing Form/Incomplete Workbook,2 (0.1%),6 (0.1%),3104,5210,
OAI,  Race: 0: Other Non-white,61 (2.0%),60 (1.2%),3104,5210,
OAI,  Race: 1: White or Caucasian,2392 (77.1%),4383 (84.1%),3104,5210,
OAI,  Race: 2: Black or African American,626 (20.2%),709 (13.6%),3104,5210,
OAI,  Race: 3: Asian,23 (0.7%),52 (1.0%),3104,5210,
OAI,"Ethnicity, overall SMD",,,3104,5210,0.029
OAI,  Ethnicity: .: Missing Form/Incomplete Workbook,0 (0.0%),2 (0.0%),3104,5210,
OAI,  Ethnicity: 0: No,3070 (98.9%),5155 (98.9%),3104,5210,
OAI,  Ethnicity: 1: Yes,34 (1.1%),53 (1.0%),3104,5210,
