"model","horizon_months","group","n","events_by_horizon","mean_predicted_risk","observed_km_risk"
"OAI apparent original",24,1,311,0,0.00321681241962418,0
"OAI apparent original",24,2,310,0,0.00635491652586995,0
"OAI apparent original",24,3,312,5,0.0136194530276323,0.0163461538461539
"OAI apparent original",24,4,310,1,0.0156608335544266,0.00332225913621265
"OAI apparent original",24,5,309,6,0.0175164281868852,0.0197845632628242
"OAI apparent original",24,6,311,7,0.0238141669480323,0.0233952058313737
"OAI apparent original",24,7,311,2,0.0335433778013661,0.00653804930332258
"OAI apparent original",24,8,309,8,0.042163550801342,0.0264167983743508
"OAI apparent original",24,9,310,19,0.0631119653427765,0.062058371735791
"OAI apparent original",24,10,311,55,0.122506484846807,0.18004992097662
"MRKR original OAI baseline",24,1,344,19,0.00448271646576886,0.0674956899655498
"MRKR original OAI baseline",24,2,339,36,0.0110472829063543,0.123114003457483
"MRKR original OAI baseline",24,3,341,44,0.0147433522531985,0.156271768750223
"MRKR original OAI baseline",24,4,341,39,0.020129375440137,0.136199603275686
"MRKR original OAI baseline",24,5,341,82,0.0284975573210994,0.264775221113211
"MRKR original OAI baseline",24,6,342,100,0.0368334536154621,0.330546771870154
"MRKR original OAI baseline",24,7,340,126,0.0492393703961614,0.416881797219289
"MRKR original OAI baseline",24,8,341,99,0.0627323631100879,0.308166526253358
"MRKR original OAI baseline",24,9,343,150,0.0826398273079312,0.46908751534832
"MRKR original OAI baseline",24,10,340,160,0.131056794178339,0.50883111448643
"MRKR slope+baseline recalibrated",24,1,344,19,0.0732756937167727,0.0674956899655498
"MRKR slope+baseline recalibrated",24,2,339,36,0.132981013904268,0.123114003457483
"MRKR slope+baseline recalibrated",24,3,341,44,0.160410411975252,0.156271768750223
"MRKR slope+baseline recalibrated",24,4,341,39,0.194432359731276,0.136199603275686
"MRKR slope+baseline recalibrated",24,5,341,82,0.240620186185664,0.264775221113211
"MRKR slope+baseline recalibrated",24,6,342,100,0.280104344451439,0.330546771870154
"MRKR slope+baseline recalibrated",24,7,340,126,0.331082380851372,0.416881797219289
"MRKR slope+baseline recalibrated",24,8,341,99,0.379354446369387,0.308166526253358
"MRKR slope+baseline recalibrated",24,9,343,150,0.439124855228888,0.46908751534832
"MRKR slope+baseline recalibrated",24,10,340,160,0.551982638775778,0.50883111448643
"MRKR offset-only recalibrated",24,1,344,19,0.229314992718456,0.0674956899655498
"MRKR offset-only recalibrated",24,2,339,36,0.476727011685838,0.123114003457483
"MRKR offset-only recalibrated",24,3,341,44,0.583561046888503,0.156271768750223
"MRKR offset-only recalibrated",24,4,341,39,0.696060452670197,0.136199603275686
"MRKR offset-only recalibrated",24,5,341,82,0.817835216078303,0.264775221113211
"MRKR offset-only recalibrated",24,6,342,100,0.889485359099542,0.330546771870154
"MRKR offset-only recalibrated",24,7,340,126,0.947502465195481,0.416881797219289
"MRKR offset-only recalibrated",24,8,341,99,0.977785564721118,0.308166526253358
"MRKR offset-only recalibrated",24,9,343,150,0.992775554150881,0.46908751534832
"MRKR offset-only recalibrated",24,10,340,160,0.999517182649006,0.50883111448643
