"model","group","n","events_by_horizon","mean_predicted_risk","observed_km_risk"
"OAI apparent",1,311,1,0.0092632255760615,0.00523560209424079
"OAI apparent",2,310,1,0.0185476825832924,0.00602409638554213
"OAI apparent",3,312,8,0.042089479128343,0.0285464830656833
"OAI apparent",4,313,8,0.0477348237986048,0.0283966921344356
"OAI apparent",5,306,18,0.0531991403112179,0.0659715515360302
"OAI apparent",6,310,24,0.071900731638272,0.0871841964008588
"OAI apparent",7,311,18,0.102940258033426,0.0677632237136377
"OAI apparent",8,310,32,0.126907098871554,0.116158748100695
"OAI apparent",9,310,56,0.189444950072379,0.199439922850972
"OAI apparent",10,311,113,0.342396970923934,0.385273004278295
"MRKR external primary hardware",1,342,32,0.00982422149097623,0.135075612078842
"MRKR external primary hardware",2,342,40,0.0312065168142469,0.16024399842082
"MRKR external primary hardware",3,340,57,0.0475676162837519,0.266967205078103
"MRKR external primary hardware",4,341,78,0.0743716512144055,0.358078988633166
"MRKR external primary hardware",5,341,122,0.100733821805822,0.467152923484557
"MRKR external primary hardware",6,342,97,0.129347427681019,0.473500187137374
"MRKR external primary hardware",7,340,136,0.182798917622858,0.595955959086047
"MRKR external primary hardware",8,341,153,0.2446003122183,0.631447651364332
"MRKR external primary hardware",9,341,145,0.336627314668988,0.561077930036033
"MRKR external primary hardware",10,342,185,0.566718909787509,0.685279373361321
