visit_code,visit_month_approx,side,rows,participants,womac_pain_nonmissing,womac_function_nonmissing,koos_pain_nonmissing
00,0,left,4796,4796,4796,4773,4794
00,0,right,4796,4796,4793,4779,4793
01,12,left,4475,4475,4474,4455,4471
01,12,right,4475,4475,4472,4454,4469
03,24,left,4307,4307,4304,4272,4303
03,24,right,4309,4309,4305,4271,4302
05,36,left,4256,4256,4255,4215,4251
05,36,right,4257,4257,4253,4217,4252
06,48,left,4235,4235,4234,4203,4232
06,48,right,4236,4236,4235,4208,4234
07,60,left,3932,3932,3930,3904,3928
07,60,right,3934,3934,3929,3901,3925
08,72,left,3813,3813,3811,3774,3806
08,72,right,3815,3815,3813,3779,3811
10,96,left,3897,3897,3892,3614,3659
10,96,right,3897,3897,3894,3623,3662
12,120,left,2235,2235,2235,2209,2133
12,120,right,2236,2236,2235,2205,2138
13,144,left,2780,2780,2780,2662,0
13,144,right,2779,2779,2779,2662,0
14,168,left,2421,2421,2421,2287,0
14,168,right,2421,2421,2421,2291,0
