characteristic,OAI,CHECK
"Participants, n",4796,1002
"Age, years","61.16 (9.19); median 61.00 [53.00, 69.00]","55.91 (5.20); median 56.00 [52.00, 60.00]"
"Sex code, n (%)",1: 1992 (41.5%); 2: 2804 (58.5%),1: 210 (21.0%); 2: 792 (79.0%)
"BMI, kg/m2","28.62 (4.84); median 28.25 [25.10, 31.70]","26.17 (3.99); median 26.00 [23.00, 28.00]"
"WOMAC pain, max of knees","3.48 (3.73); median 2.00 [0.00, 5.00]","5.06 (3.42); median 5.00 [2.00, 7.00]"
"WOMAC function, max of knees","10.76 (12.10); median 6.00 [1.00, 17.00]","16.00 (11.66); median 14.00 [7.00, 23.00]"
"WOMAC stiffness, max of knees","2.00 (1.77); median 2.00 [0.00, 3.00]","2.66 (1.69); median 3.00 [2.00, 4.00]"
"WOMAC total, max of knees","16.04 (16.76); median 10.00 [2.10, 25.00]","23.66 (15.79); median 21.00 [11.00, 34.00]"
"Any baseline knee pain, n (%)",4088 (85.3%),832 (83.0%)
"Baseline KL/structural score, max of knees","2.26 (1.17); median 2.00 [2.00, 3.00]","0.68 (0.74); median 1.00 [0.00, 1.00]"
"Any KR/TKA event, n (%)",697 (14.5%),26 (2.6%)
