Cohort,Analysis context,Characteristic,Value
OAI,Model F-core development/apparent validation,"Knees, n",3104
MRKR,Model F-core transport validation,"Knees, n",3412
CHECK,CHECK-compatible common-change exploratory validation,"Knees, n",1712
OAI,Model F-core development/apparent validation,"Participants/patients, n",1656
MRKR,Model F-core transport validation,"Participants/patients, n",2179
CHECK,CHECK-compatible common-change exploratory validation,"Participants/patients, n",860
OAI,Model F-core development/apparent validation,"Age, years, mean (SD)",62.8 (9.3)
MRKR,Model F-core transport validation,"Age, years, mean (SD)",63.9 (11.8)
CHECK,CHECK-compatible common-change exploratory validation,"Age, years, mean (SD)",55.9 (5.2)
OAI,Model F-core development/apparent validation,"Female sex, n (%)",1835 (59.1%)
MRKR,Model F-core transport validation,"Female sex, n (%)",2396 (70.2%)
CHECK,CHECK-compatible common-change exploratory validation,"Female sex, n (%)",1363 (79.6%)
OAI,Model F-core development/apparent validation,"Right knee, n (%)",1542 (49.7%)
MRKR,Model F-core transport validation,"Right knee, n (%)",1684 (49.4%)
CHECK,CHECK-compatible common-change exploratory validation,"Right knee, n (%)",856 (50.0%)
OAI,Model F-core development/apparent validation,"BMI, kg/m2, mean (SD)",29.4 (5.0)
MRKR,Model F-core transport validation,"BMI, kg/m2, mean (SD)",Not available
CHECK,CHECK-compatible common-change exploratory validation,"BMI, kg/m2, mean (SD)",26.2 (4.0)
OAI,Model F-core development/apparent validation,Pain measure used,"Pain score at landmark, 0-10"
MRKR,Model F-core transport validation,Pain measure used,"Pain score at landmark, 0-10"
CHECK,CHECK-compatible common-change exploratory validation,Pain measure used,WOMAC pain at 24-month landmark
OAI,Model F-core development/apparent validation,"Pain at landmark, mean (SD)",1.4 (1.7)
MRKR,Model F-core transport validation,"Pain at landmark, mean (SD)",3.4 (3.4)
CHECK,CHECK-compatible common-change exploratory validation,"Pain at landmark, mean (SD)",4.6 (3.5)
OAI,Model F-core development/apparent validation,"WOMAC function, mean (SD)",10.1 (11.6)
MRKR,Model F-core transport validation,"WOMAC function, mean (SD)",Not available
CHECK,CHECK-compatible common-change exploratory validation,"WOMAC function, mean (SD)",14.9 (11.8)
OAI,Model F-core development/apparent validation,"KL grade at landmark, mean (SD)",2.1 (1.2)
MRKR,Model F-core transport validation,"KL grade at landmark, mean (SD)",2.4 (1.2)
CHECK,CHECK-compatible common-change exploratory validation,"KL grade at landmark, mean (SD)",0.8 (0.8)
OAI,Model F-core development/apparent validation,"KL grade at landmark, distribution",KL 0: 436 (14.0%); KL 1: 237 (7.6%); KL 2: 1234 (39.8%); KL 3: 867 (27.9%); KL 4: 330 (10.6%)
MRKR,Model F-core transport validation,"KL grade at landmark, distribution",KL 0: 408 (12.0%); KL 1: 159 (4.7%); KL 2: 1171 (34.3%); KL 3: 1103 (32.3%); KL 4: 571 (16.7%)
CHECK,CHECK-compatible common-change exploratory validation,"KL grade at landmark, distribution",KL 0: 783 (45.7%); KL 1: 576 (33.6%); KL 2: 333 (19.5%); KL 3: 19 (1.1%); KL 5: 1 (0.1%)
OAI,Model F-core development/apparent validation,"0-24 month KL worsening >=1 grade, n (%)",320 (10.3%)
MRKR,Model F-core transport validation,"0-24 month KL worsening >=1 grade, n (%)",1048 (30.7%)
CHECK,CHECK-compatible common-change exploratory validation,"0-24 month KL worsening >=1 grade, n (%)",419 (24.5%)
OAI,Model F-core development/apparent validation,"Post-landmark TKA/KR events, n (%)",566 (18.2%)
MRKR,Model F-core transport validation,"Post-landmark TKA/KR events, n (%)",1140 (33.4%)
CHECK,CHECK-compatible common-change exploratory validation,"Post-landmark TKA/KR events, n (%)",28 (1.6%)
OAI,Model F-core development/apparent validation,"Follow-up, months, median (IQR)",84.0 (36.0-168.0)
MRKR,Model F-core transport validation,"Follow-up, months, median (IQR)",20.0 (8.3-41.0)
CHECK,CHECK-compatible common-change exploratory validation,"Follow-up, months, median (IQR)",72.0 (72.0-72.0)
