Cohort,Outcome definition,"Horizon, months after landmark","Knees, n","Participants/patients, n","Total post-landmark events, n","Events by horizon, n","Censored before horizon, n","At risk at horizon, n",Crude cumulative event proportion,Observed Kaplan-Meier risk
OAI,Target-knee KR/TKA after OAI 24-month landmark,12,3104,1656,566,45,14,3045,1.4%,1.5%
OAI,Target-knee KR/TKA after OAI 24-month landmark,24,3104,1656,566,103,145,2856,3.3%,3.4%
OAI,Target-knee KR/TKA after OAI 24-month landmark,36,3104,1656,566,160,499,2445,5.2%,5.6%
OAI,Target-knee KR/TKA after OAI 24-month landmark,60,3104,1656,566,279,689,2136,9.0%,10.5%
OAI,Target-knee KR/TKA after OAI 24-month landmark,72,3104,1656,566,326,818,1960,10.5%,12.6%
MRKR,Side-specific hardware-defined arthroplasty after MRKR landmark,12,3412,2179,1140,656,448,2308,19.2%,20.0%
MRKR,Side-specific hardware-defined arthroplasty after MRKR landmark,24,3412,2179,1140,855,1049,1508,25.1%,28.0%
MRKR,Side-specific hardware-defined arthroplasty after MRKR landmark,36,3412,2179,1140,935,1468,1009,27.4%,32.5%
MRKR,Side-specific hardware-defined arthroplasty after MRKR landmark,60,3412,2179,1140,1045,1884,483,30.6%,42.5%
MRKR,Side-specific hardware-defined arthroplasty after MRKR landmark,72,3412,2179,1140,1070,1984,358,31.4%,45.8%
CHECK,Post-landmark TKA in CHECK exploratory dataset,12,1712,860,28,4,0,1712,0.2%,0.2%
CHECK,Post-landmark TKA in CHECK exploratory dataset,24,1712,860,28,10,0,1708,0.6%,0.6%
CHECK,Post-landmark TKA in CHECK exploratory dataset,36,1712,860,28,15,0,1702,0.9%,0.9%
CHECK,Post-landmark TKA in CHECK exploratory dataset,60,1712,860,28,26,0,1691,1.5%,1.5%
CHECK,Post-landmark TKA in CHECK exploratory dataset,72,1712,860,28,28,0,1686,1.6%,1.6%
