"model","threshold","net_benefit","treat_all","treat_none"
"Model C baseline clinical-radiographic",0.02,0.0863524847137344,0.0858325063621881,0
"Model C baseline clinical-radiographic",0.03,0.0783062265181256,0.0764080992112811,0
"Model C baseline clinical-radiographic",0.04,0.068798870109116,0.066787350244728,0
"Model C baseline clinical-radiographic",0.05,0.0587005935561775,0.0569640591946735,0
"Model C baseline clinical-radiographic",0.06,0.0520357758367858,0.0469317619520651,0
"Model C baseline clinical-radiographic",0.07,0.0497152218030165,0.0366837163816584,0
"Model C baseline clinical-radiographic",0.08,0.0459664524199383,0.0262128872118931,0
"Model C baseline clinical-radiographic",0.09,0.041731476579303,0.0155119299285076,0
"Model C baseline clinical-radiographic",0.1,0.0353066590062184,0.00457317359437919,0
"Model C baseline clinical-radiographic",0.11,0.0330937428922052,-0.00661139748883008,0
"Model C baseline clinical-radiographic",0.12,0.027776360289258,-0.018050163369385,0
"Model C baseline clinical-radiographic",0.13,0.0271628067880795,-0.0297518893851255,0
"Model C baseline clinical-radiographic",0.14,0.0266831741919724,-0.0417257485640205,0
"Model C baseline clinical-radiographic",0.15,0.0238375679410203,-0.0539813456059498,0
"Model C baseline clinical-radiographic",0.16,0.0241096035300034,-0.0665287425774497,0
"Model C baseline clinical-radiographic",0.17,0.0199935236600594,-0.079378486463929,0
"Model C baseline clinical-radiographic",0.18,0.0166947083423017,-0.0925416387378815,0
"Model C baseline clinical-radiographic",0.19,0.015245238267767,-0.106029807117352,0
"Model C baseline clinical-radiographic",0.2,0.0122864594015494,-0.119855179706326,0
"Model C baseline clinical-radiographic",0.21,0.0107778344026852,-0.134030561727918,0
"Model C baseline clinical-radiographic",0.22,0.00900340349814291,-0.14856941508341,0
"Model C baseline clinical-radiographic",0.23,0.00919909691648746,-0.163485900993582,0
"Model C baseline clinical-radiographic",0.24,0.00843322929961435,-0.178794926006661,0
"Model C baseline clinical-radiographic",0.25,0.00669295062315953,-0.194512191686747,0
"Model C baseline clinical-radiographic",0.26,0.00660875712757358,-0.210654248331158,0
"Model C baseline clinical-radiographic",0.27,0.0046244895194708,-0.227238553102811,0
"Model C baseline clinical-radiographic",0.28,0.00290220895240182,-0.244283533007018,0
"Model C baseline clinical-radiographic",0.29,0.00298152308154818,-0.26180865319022,0
"Model C baseline clinical-radiographic",0.3,0.00165444527892102,-0.279834491092935,0
"Model E updated clinical-radiographic",0.02,0.0873286585797332,0.0858325063621881,0
"Model E updated clinical-radiographic",0.03,0.0789209774609178,0.0764080992112811,0
"Model E updated clinical-radiographic",0.04,0.0709592898377877,0.066787350244728,0
"Model E updated clinical-radiographic",0.05,0.0666216851631519,0.0569640591946735,0
"Model E updated clinical-radiographic",0.06,0.0615361513860227,0.0469317619520651,0
"Model E updated clinical-radiographic",0.07,0.05686556715542,0.0366837163816584,0
"Model E updated clinical-radiographic",0.08,0.0532360444795618,0.0262128872118931,0
"Model E updated clinical-radiographic",0.09,0.0496849264888929,0.0155119299285076,0
"Model E updated clinical-radiographic",0.1,0.0452644491192659,0.00457317359437919,0
"Model E updated clinical-radiographic",0.11,0.0435715595649896,-0.00661139748883008,0
"Model E updated clinical-radiographic",0.12,0.0418377364852409,-0.018050163369385,0
"Model E updated clinical-radiographic",0.13,0.0393052500295433,-0.0297518893851255,0
"Model E updated clinical-radiographic",0.14,0.0355471118376682,-0.0417257485640205,0
"Model E updated clinical-radiographic",0.15,0.0349240077055292,-0.0539813456059498,0
"Model E updated clinical-radiographic",0.16,0.0333221539926112,-0.0665287425774497,0
"Model E updated clinical-radiographic",0.17,0.0320711853849066,-0.079378486463929,0
"Model E updated clinical-radiographic",0.18,0.0302038557217597,-0.0925416387378815,0
"Model E updated clinical-radiographic",0.19,0.0278822514216882,-0.106029807117352,0
"Model E updated clinical-radiographic",0.2,0.0273812385904116,-0.119855179706326,0
"Model E updated clinical-radiographic",0.21,0.0268052170276674,-0.134030561727918,0
"Model E updated clinical-radiographic",0.22,0.0250123751413121,-0.14856941508341,0
"Model E updated clinical-radiographic",0.23,0.0238370080254962,-0.163485900993582,0
"Model E updated clinical-radiographic",0.24,0.0216349346314922,-0.178794926006661,0
"Model E updated clinical-radiographic",0.25,0.0180158403769869,-0.194512191686747,0
"Model E updated clinical-radiographic",0.26,0.0160216860802106,-0.210654248331158,0
"Model E updated clinical-radiographic",0.27,0.013472247796168,-0.227238553102811,0
"Model E updated clinical-radiographic",0.28,0.0125198176141347,-0.244283533007018,0
"Model E updated clinical-radiographic",0.29,0.010184152169762,-0.26180865319022,0
"Model E updated clinical-radiographic",0.3,0.00896092610027576,-0.279834491092935,0
