group,knees,patients,events_by_horizon,mean_predicted_risk,observed_risk,observed_lower_95,observed_upper_95,analysis
1,344,278,19,0.004482716465768807,0.06749568996554978,0.03766731275325785,0.0973240671778417,Original OAI-derived Model F-core
2,339,295,36,0.011047282906354261,0.12311400345748313,0.0850460002562988,0.16118200665866747,Original OAI-derived Model F-core
3,341,301,44,0.014743352253198535,0.1562717687502232,0.11278533936873088,0.19975819813171553,Original OAI-derived Model F-core
4,341,299,39,0.02012937544013697,0.1361996032756856,0.09542485574006809,0.17697435081130308,Original OAI-derived Model F-core
5,341,301,82,0.028497557321099442,0.2647752211132113,0.21459119545732988,0.3149592467690927,Original OAI-derived Model F-core
6,342,308,100,0.03683345361546208,0.3305467718701536,0.2758535185741967,0.38524002516611044,Original OAI-derived Model F-core
7,340,302,126,0.049239370396161386,0.41688179721928875,0.35880436138774274,0.47495923305083476,Original OAI-derived Model F-core
8,341,299,99,0.06273236311008791,0.3081665262533577,0.25696358825886806,0.3593694642478474,Original OAI-derived Model F-core
9,343,305,150,0.0826398273079312,0.46908751534832016,0.41290538586811043,0.5252696448285299,Original OAI-derived Model F-core
10,340,281,160,0.13105679417833893,0.5088311144864301,0.45165829230892224,0.566003936663938,Original OAI-derived Model F-core
1,342,278,19,0.07295815520053717,0.06799624966109197,0.03794634305182755,0.09804615627035639,Pooled out-of-sample recalibrated predictions
2,341,296,36,0.13263813426685103,0.12209754404857509,0.084295179778476,0.15989990831867418,Pooled out-of-sample recalibrated predictions
3,341,302,44,0.1602016072980279,0.1583083223980507,0.11429293568335877,0.20232370911274264,Pooled out-of-sample recalibrated predictions
4,341,300,40,0.19409788692928903,0.1374038165494299,0.09691760539855053,0.17789002770030926,Pooled out-of-sample recalibrated predictions
5,341,301,81,0.24033195007846636,0.2621396532906689,0.21204326580077199,0.3122360407805658,Pooled out-of-sample recalibrated predictions
6,341,307,101,0.27963034305635265,0.33427831845242584,0.27939852270905957,0.3891581141957921,Pooled out-of-sample recalibrated predictions
7,341,303,127,0.33060794779457103,0.41993140760497305,0.3617585314015315,0.4781042838084146,Pooled out-of-sample recalibrated predictions
8,341,299,99,0.3790424003959756,0.3068953673082432,0.255872532355232,0.35791820226125437,Pooled out-of-sample recalibrated predictions
9,341,305,147,0.43861983350694833,0.4638716575842542,0.40748788372242284,0.5202554314460855,Pooled out-of-sample recalibrated predictions
10,342,282,161,0.5515445451397814,0.5087561335934764,0.4517597959759126,0.5657524712110402,Pooled out-of-sample recalibrated predictions
