Characteristic,OAI Model F-core,MRKR transport,SMD
Panel A. Demographic and baseline characteristics,,,
"Knees, n",3104,3412,
"Participants/patients, n",1656,2179,
"Age, years, mean (SD)",62.8 (9.3),63.9 (11.8),0.104
"Female sex, n (%)",1835 (59.1%),2396 (70.2%),0.234
"Right knee, n (%)",1542 (49.7%),1684 (49.4%),0.006
"Baseline KL grade, mean (SD)",2.0 (1.1),2.2 (1.2),0.147
"Race, overall SMD",,,0.305
White,2392 (77.1%),1830 (53.6%),
Black,626 (20.2%),1334 (39.1%),
Asian,23 (0.7%),138 (4.0%),
Unknown/not reported,0 (0.0%),85 (2.5%),
"Ethnicity, overall SMD",,,0.096
Hispanic/Latino,34 (1.1%),73 (2.1%),
Not Hispanic/Latino,3070 (98.9%),3128 (91.7%),
Unknown/not reported,0 (0.0%),85 (2.5%),
"Baseline KL distribution, overall SMD",,,0.115
"KL grade 0, n (%)",457 (14.7%),544 (15.9%),
"KL grade 1, n (%)",260 (8.4%),198 (5.8%),
"KL grade 2, n (%)",1353 (43.6%),1227 (36.0%),
"KL grade 3, n (%)",831 (26.8%),946 (27.7%),
"KL grade 4, n (%)",203 (6.5%),497 (14.6%),
Panel B. Updated 24-month landmark information,,,
"Landmark pain score, 0-10, mean (SD)",1.4 (1.7),3.4 (3.4),0.731
"KL worsening >=1 grade, n (%)",320 (10.3%),1048 (30.7%),0.522
Panel C. Follow-up and outcome structure,,,
"Post-landmark follow-up, months, median (IQR)",84.0 (36.0-168.0),20.0 (8.3-41.0),
OAI recorded knee-replacement events,566,Not applicable,
MRKR side-specific hardware-detection events,Not applicable,1140,
Events/detections by 12 months,45,656,
Events/detections by 24 months,103,855,
At risk at 24 months,2856,1508,
