Panel / analysis,N knees / 24m detections,C-index,24m AUC (95% CI),Observed probability (95% CI),Brier / note
Panel A. Outcome-time definition,,,,,
First hardware-positive image (primary),3412 / 855,0.681,0.709 (0.686–0.731),28.0% (26.4–29.6%),0.359; Exact/right-censored analysis
"Hardware-anchored, CPT-timed within interval and +/-90 days",3412 / 855,0.681,0.709 (0.686–0.731),27.9% (26.3–29.5%),0.358; Exact/right-censored analysis
Negative-positive interval midpoint,3412 / 885,0.681,0.709 (0.685–0.732),28.5% (26.9–30.1%),0.366; Exact/right-censored analysis
Weibull interval-censored model,3412 / 855,Not applicable,0.714,31.1%,0.207; Model-based risk; AUC/Brier among 2301 knees with interval-identified 24-month status
Panel B. Early detected-event exclusion,,,,,
MRKR all,3412 / 855,0.681,0.709,28.0%,Conditional sensitivity
Exclude events <= 3 months,3084 / 527,0.665,0.685,20.2%,Conditional sensitivity
Exclude events <= 6 months,2908 / 351,0.657,0.672,15.2%,Conditional sensitivity
Exclude events <= 12 months,2756 / 199,0.659,0.667,10.0%,Conditional sensitivity
Panel C. Higher-specificity outcome definitions,,,,,
Hardware with nearest CPT within +/-90 days,3412 / 742,0.687,0.715,24.3% (22.7%–25.8%),"0.321; higher specificity, lower sensitivity"
Hardware with nearest CPT within +/-365 days,3412 / 777,0.685,0.712,25.6% (24.0%–27.1%),"0.335; higher specificity, lower sensitivity"
Side-consistent CPT-confirmed hardware within +/-365 days,3412 / 40,0.644,0.665,1.4% (1.0%–1.8%),"0.028; higher specificity, lower sensitivity"
Panel D. Detection-interval audit,,,,,
"Negative-to-positive interval, median (IQR)",-,-,-,-,83 days (43–157)
Intervals longer than 365 days,-,-,-,-,96
Intervals crossing the 24-month horizon,-,-,-,-,62
