Predictor,Unit/coding,Beta,HR,95% CI,P value
Age,per year,-0.001589,0.998,0.988–1.009,0.774
Female sex,1 vs 0,-0.126607,0.881,0.711–1.092,0.247
BMI,per kg/m²,-0.022457,0.978,0.957–0.999,0.045
Right knee,right vs left,0.007111,1.007,0.874–1.160,0.921
Baseline WOMAC pain,per WOMAC point,0.042942,1.044,0.982–1.109,0.166
Baseline WOMAC function,per WOMAC point,0.004833,1.005,0.984–1.026,0.648
Baseline WOMAC stiffness,per WOMAC point,0.075842,1.079,0.986–1.180,0.097
0–24 month WOMAC pain change,per point,0.079403,1.083,1.031–1.137,0.001
0–24 month WOMAC function change,per point,0.002977,1.003,0.986–1.020,0.726
Baseline KL grade,per grade,0.916800,2.501,1.901–3.291,<0.001
0–24 month KL change,per grade,0.323076,1.381,0.916–2.083,0.123
Baseline medial JSN,per grade,-0.049330,0.952,0.767–1.181,0.654
0–24 month medial JSN change,per grade,0.727978,2.071,1.478–2.902,<0.001
Baseline lateral JSN,per grade,-0.117741,0.889,0.714–1.107,0.292
0–24 month lateral JSN change,per grade,0.546092,1.726,1.161–2.568,0.007
