Characteristic,Included,Excluded,Included non-missing,Excluded non-missing,SMD
"Knees, n",3104,5210,"3,104","5,210",—
"Participants, n",1656,2690,"1,656","2,690",—
24-month KL grade (available irrespective of baseline central read),2.1 (1.2),0.8 (1.0),"3,104","4,910",1.193
"Post-landmark follow-up, months",92.4 (56.7),137.1 (42.5),"3,104","5,210",0.892
Post-landmark KR/TKA event,566 (18.2%),265 (5.1%),"3,104","5,210",0.410
"24-month pain score, 0-10",1.4 (1.7),0.8 (1.3),"3,104","5,210",0.398
"Baseline pain score, 0-10",1.5 (1.8),0.9 (1.4),"3,104","5,210",0.379
"Age, years",62.8 (9.3),60.2 (8.9),"3,104","5,210",0.280
"Race, overall SMD",—,—,"3,104","5,210",0.261
Baseline central-read KL grade,2.0 (1.1),1.7 (1.2),"3,104",298,0.257
Female,1835 (59.1%),2993 (57.4%),"3,104","5,210",0.034
"Ethnicity, overall SMD",—,—,"3,104","5,210",0.029
Right knee,1542 (49.7%),2605 (50.0%),"3,104","5,210",0.006
