Item,OAI common-change model,CHECK exploratory validation
"Knees, n",3068,1712
"Participants, n",1642,860
"Post-landmark TKA/KR events, n",560,28
"60-month TKA/KR events, n",274,26
C-index,0.768,0.787 (0.705–0.858)
Mean predicted 60-month risk,9.9%,3.2%
Observed 60-month risk,10.4%,1.5%
Interpretation,Development/internal estimate,Exploratory validation; event-limited
"Observed 60-month risk, 95% CI",Not estimated,1.5% (1.0%–2.2%)
"O/E ratio, 95% interval",Not estimated,0.468 (0.320–0.685)
Calibration-in-the-large,Not estimated,-0.767
Predicted 60-month risk range,Not reported,0.5%–86.3%
