Panel,Analysis/model,n/events,AUC (95% CI),Brier (95% CI),Observed/expected or mean prediction,Calibration intercept,Calibration slope
A. Selected models,CHECK 24 m penalized LR,"1,598/185",0.786 (0.746-0.826),0.089 (0.079-0.100),O/E 0.99,0.28,1.17
A. Selected models,CHECK 60 m penalized LR,"1,510/394",0.711 (0.680-0.745),0.170 (0.158-0.183),O/E 0.99,0.07,1.08
A. Selected models,CHECK 96 m penalized LR,"1,460/520",0.679 (0.646-0.712),0.206 (0.196-0.216),O/E 1.00,0.01,1.02
A. Selected models,OAI 60 m TKA/KR penalized LR,"2,415/279",0.789 (0.763-0.815),0.089 (0.081-0.099),O/E 1.00,0.14,1.08
B. OAI thresholds,Predicted risk >=10%,931 high-risk knees; 217 events captured,Not applicable,Net benefit 0.057,Sensitivity 0.778; specificity 0.666; PPV 0.233; NPV 0.958,,
B. OAI thresholds,Predicted risk >=20%,442 high-risk knees; 149 events captured,Not applicable,Net benefit 0.031,Sensitivity 0.534; specificity 0.863; PPV 0.337; NPV 0.934,,
B. OAI thresholds,Predicted risk >=30%,215 high-risk knees; 88 events captured,Not applicable,Net benefit 0.014,Sensitivity 0.315; specificity 0.941; PPV 0.409; NPV 0.913,,
C. MRKR transport,24 m original OAI index,"2,363/855",0.700 (0.672-0.721),0.234 (0.222-0.246),Observed 0.362; mean predicted 0.214; O/E 1.69,0.28,0.51
C. MRKR transport,24 m intercept-only recalibration,"2,363/855",0.700,0.217,O/E 1.00,-0.22,0.51
C. MRKR transport,24 m logistic recalibration,"2,363/855",0.700 (0.672-0.721),0.206 (0.198-0.214),Observed 0.362; mean predicted 0.362; O/E 1.00,0.00,1.00
C. MRKR transport,36 m original OAI index,"1,944/935",0.723 (0.698-0.747),0.290 (0.274-0.305),Observed 0.481; mean predicted 0.217; O/E 2.21,0.95,0.58
C. MRKR transport,36 m intercept-only recalibration,"1,944/935",0.723,0.219,O/E 1.00,0.01,0.58
C. MRKR transport,36 m logistic recalibration,"1,944/935",0.723 (0.698-0.747),0.212 (0.204-0.220),Observed 0.481; mean predicted 0.481; O/E 1.00,0.00,1.00
