Horizon,Model,Knees,Patients,Events,Event rate,AUC,Brier score,Mean predicted risk,O/E,Calibration intercept,Calibration slope
24 months,Random forest,"1,598",853,185,11.6%,0.786,0.165,38.3%,0.3,-1.77,1.38
24 months,Penalized logistic regression,"1,598",853,185,11.6%,0.786,0.089,11.6%,0.99,0.28,1.17
24 months,Enhanced logistic regression,"1,598",853,185,11.6%,0.784,0.089,11.7%,0.99,-0.12,0.93
24 months,Gradient boosting,"1,598",853,185,11.6%,0.782,0.088,11.6%,1.0,0.04,1.02
24 months,Clinical-radiographic logistic regression,"1,598",853,185,11.6%,0.773,0.091,11.6%,0.99,-0.1,0.95
24 months,Pain-KL group logistic regression,"1,598",853,185,11.6%,0.771,0.091,11.6%,1.0,-0.11,0.94
24 months,Base logistic regression,"1,598",853,185,11.6%,0.572,0.102,11.6%,1.0,-0.52,0.74
60 months,Penalized logistic regression,"1,510",811,394,26.1%,0.711,0.17,26.2%,0.99,0.07,1.08
60 months,Enhanced logistic regression,"1,510",811,394,26.1%,0.709,0.171,26.3%,0.99,-0.06,0.94
60 months,Pain-KL group logistic regression,"1,510",811,394,26.1%,0.703,0.172,26.2%,0.99,-0.05,0.95
60 months,Random forest,"1,510",811,394,26.1%,0.701,0.214,46.2%,0.56,-0.96,1.29
60 months,Clinical-radiographic logistic regression,"1,510",811,394,26.1%,0.701,0.172,26.2%,0.99,-0.04,0.97
60 months,Gradient boosting,"1,510",811,394,26.1%,0.688,0.175,26.3%,0.99,-0.09,0.92
60 months,Base logistic regression,"1,510",811,394,26.1%,0.565,0.191,26.2%,1.0,-0.16,0.85
96 months,Penalized logistic regression,"1,460",788,520,35.6%,0.679,0.206,35.6%,1.0,0.01,1.02
96 months,Pain-KL group logistic regression,"1,460",788,520,35.6%,0.679,0.206,35.6%,1.0,-0.05,0.92
96 months,Random forest,"1,460",788,520,35.6%,0.678,0.223,48.0%,0.74,-0.54,1.34
96 months,Enhanced logistic regression,"1,460",788,520,35.6%,0.678,0.206,35.6%,1.0,-0.05,0.91
96 months,Clinical-radiographic logistic regression,"1,460",788,520,35.6%,0.674,0.206,35.6%,1.0,-0.04,0.93
96 months,Gradient boosting,"1,460",788,520,35.6%,0.669,0.208,35.6%,1.0,-0.04,0.92
96 months,Base logistic regression,"1,460",788,520,35.6%,0.542,0.229,35.6%,1.0,-0.25,0.57
