Model,Endpoint,Term,Coefficient,Center,Scale,Coding / unit
CHECK final penalized logistic model,24-month incident KL ≥2,Intercept,-2.3787,,,Logit intercept after preprocessing
CHECK final penalized logistic model,24-month incident KL ≥2,Age,0.1704,55.7559,5.1841,Coefficient per 1 SD after within-model median imputation and z-standardization
CHECK final penalized logistic model,24-month incident KL ≥2,Female sex,0.0731,0.786,0.4101,Coefficient per 1 SD after within-model median imputation and z-standardization
CHECK final penalized logistic model,24-month incident KL ≥2,Right knee,0.087,0.5,0.5,Coefficient per 1 SD after within-model median imputation and z-standardization
CHECK final penalized logistic model,24-month incident KL ≥2,Pain score,0.1517,4.9287,3.4278,Coefficient per 1 SD after within-model median imputation and z-standardization
CHECK final penalized logistic model,24-month incident KL ≥2,Baseline KL1,0.7618,0.3129,0.4637,Coefficient per 1 SD after within-model median imputation and z-standardization
CHECK final penalized logistic model,24-month incident KL ≥2,BMI,0.2367,26.0951,3.9747,Coefficient per 1 SD after within-model median imputation and z-standardization
CHECK final penalized logistic model,24-month incident KL ≥2,WOMAC function,0.1077,15.4956,11.5347,Coefficient per 1 SD after within-model median imputation and z-standardization
CHECK final penalized logistic model,24-month incident KL ≥2,Baseline knee pain flag,0.1395,0.6327,0.4821,Coefficient per 1 SD after within-model median imputation and z-standardization
OAI final penalized logistic model,60-month target-knee TKA/KR,Intercept,-2.4346,,,Logit intercept after preprocessing
OAI final penalized logistic model,60-month target-knee TKA/KR,Age,0.2137,62.5371,9.005,Coefficient per 1 SD after within-model median imputation and z-standardization
OAI final penalized logistic model,60-month target-knee TKA/KR,Female sex,0.0122,0.6095,0.4879,Coefficient per 1 SD after within-model median imputation and z-standardization
OAI final penalized logistic model,60-month target-knee TKA/KR,Right knee,-0.0475,0.4965,0.5,Coefficient per 1 SD after within-model median imputation and z-standardization
OAI final penalized logistic model,60-month target-knee TKA/KR,Pain score,0.4264,1.4829,1.7719,Coefficient per 1 SD after within-model median imputation and z-standardization
OAI final penalized logistic model,60-month target-knee TKA/KR,KL grade,0.7718,2.3267,1.043,Coefficient per 1 SD after within-model median imputation and z-standardization
OAI final penalized logistic model,60-month target-knee TKA/KR,"Pain change, 0–24 months",0.0164,-0.0557,1.5601,Coefficient per 1 SD after within-model median imputation and z-standardization
OAI final penalized logistic model,60-month target-knee TKA/KR,"KL change, 0–24 months",0.1428,0.1188,0.3599,Coefficient per 1 SD after within-model median imputation and z-standardization
MRKR logistic recalibration,24-month arthroplasty,alpha,0.2843,,,"logit(p_MRKR,h) = alpha_h + beta_h * LP_OAI"
MRKR logistic recalibration,24-month arthroplasty,beta,0.5075,,,"logit(p_MRKR,h) = alpha_h + beta_h * LP_OAI"
MRKR logistic recalibration,36-month arthroplasty,alpha,0.9545,,,"logit(p_MRKR,h) = alpha_h + beta_h * LP_OAI"
MRKR logistic recalibration,36-month arthroplasty,beta,0.5814,,,"logit(p_MRKR,h) = alpha_h + beta_h * LP_OAI"
