target_horizon_months,excluded_events_within_months,recalibration_method,knees,patients,events,observed_risk,mean_predicted_risk,auc,auc_95ci,brier,brier_95ci,oe_ratio,calibration_intercept,calibration_slope,recalibration_alpha_if_updating_original_index,recalibration_beta_if_updating_original_index
24,0,none,2363,1588,855,0.362,0.214,0.700,0.700 (0.672-0.721),0.234,0.234 (0.222-0.246),1.69,0.284,0.507,0.284,0.507
24,0,intercept_recalibration,2363,1588,855,0.362,0.362,0.700,0.700 (0.672-0.721),0.217,0.217 (0.206-0.228),1.000,-0.221,0.507,,
24,0,logistic_recalibration,2363,1588,855,0.362,0.362,0.700,0.700 (0.672-0.721),0.206,0.206 (0.198-0.214),1.00,-0.000,1.00,,
24,6,none,1859,1242,351,0.189,0.187,0.662,0.662 (0.626-0.693),0.158,0.158 (0.144-0.171),1.01,-0.757,0.392,-0.757,0.392
24,6,intercept_recalibration,1859,1242,351,0.189,0.325,0.662,0.662 (0.626-0.693),0.191,0.191 (0.178-0.205),0.581,-1.15,0.392,,
24,6,logistic_recalibration,1859,1242,351,0.189,0.339,0.662,0.662 (0.626-0.693),0.173,0.173 (0.164-0.181),0.557,-0.977,0.773,,
24,12,none,1707,1126,199,0.117,0.178,0.653,0.653 (0.609-0.688),0.122,0.122 (0.111-0.133),0.655,-1.37,0.363,-1.37,0.363
24,12,intercept_recalibration,1707,1126,199,0.117,0.313,0.653,0.653 (0.609-0.688),0.176,0.176 (0.165-0.187),0.372,-1.73,0.363,,
24,12,logistic_recalibration,1707,1126,199,0.117,0.332,0.653,0.653 (0.609-0.688),0.156,0.156 (0.150-0.164),0.351,-1.57,0.715,,
36,0,none,1944,1359,935,0.481,0.217,0.723,0.723 (0.698-0.747),0.290,0.290 (0.274-0.305),2.21,0.954,0.581,0.954,0.581
36,0,intercept_recalibration,1944,1359,935,0.481,0.481,0.723,0.723 (0.698-0.747),0.219,0.219 (0.207-0.231),1.000,-0.015,0.581,,
36,0,logistic_recalibration,1944,1359,935,0.481,0.481,0.723,0.723 (0.698-0.747),0.212,0.212 (0.204-0.220),1.00,-0.000,1.00,,
36,6,none,1440,1000,431,0.299,0.184,0.686,0.686 (0.655-0.713),0.211,0.211 (0.195-0.231),1.63,0.025,0.465,0.025,0.465
36,6,intercept_recalibration,1440,1000,431,0.299,0.431,0.686,0.686 (0.655-0.713),0.228,0.228 (0.215-0.243),0.695,-0.751,0.465,,
36,6,logistic_recalibration,1440,1000,431,0.299,0.446,0.686,0.686 (0.655-0.713),0.216,0.216 (0.207-0.226),0.671,-0.739,0.800,,
36,12,none,1288,878,279,0.217,0.171,0.677,0.677 (0.644-0.714),0.171,0.171 (0.152-0.187),1.26,-0.446,0.439,-0.446,0.439
36,12,intercept_recalibration,1288,878,279,0.217,0.414,0.677,0.677 (0.644-0.714),0.225,0.225 (0.211-0.241),0.523,-1.18,0.439,,
36,12,logistic_recalibration,1288,878,279,0.217,0.434,0.677,0.677 (0.644-0.714),0.213,0.213 (0.203-0.225),0.499,-1.17,0.755,,
